Payment Date,Tender,Card Brand,Amount
22-Jun-2020 01:35 PM EDT,Debit Card,MC,12.94
22-Jun-2020 01:31 PM EDT,Cash,,6.47
22-Jun-2020 01:31 PM EDT,Cash,,6.47
22-Jun-2020 12:52 PM EDT,Cash,,12.94
22-Jun-2020 12:52 PM EDT,Cash,,25
22-Jun-2020 12:38 PM EDT,Cash,,12.94
22-Jun-2020 12:19 PM EDT,Cash,,12.94
21-Jun-2020 08:24 PM EDT,Debit Card,VISA,9.69
21-Jun-2020 08:23 PM EDT,Cash,,12.5
21-Jun-2020 07:56 PM EDT,Gift Cards,,8.14
21-Jun-2020 07:39 PM EDT,Credit Card,VISA,16.22
21-Jun-2020 07:14 PM EDT,Credit Card,AMEX,21.62
21-Jun-2020 06:57 PM EDT,Credit Card,VISA,47.03
21-Jun-2020 06:44 PM EDT,Debit Card,MC,17.18
21-Jun-2020 06:43 PM EDT,Debit Card,MC,15.16
21-Jun-2020 06:13 PM EDT,Credit Card,VISA,20.22
21-Jun-2020 05:55 PM EDT,Credit Card,VISA,9.55
21-Jun-2020 04:40 PM EDT,Cash,,8.85
21-Jun-2020 04:25 PM EDT,Cash,,7.44
21-Jun-2020 04:07 PM EDT,Cash,,11.51
21-Jun-2020 03:28 PM EDT,Debit Card,VISA,13.06
21-Jun-2020 03:27 PM EDT,Credit Card,AMEX,15.44
21-Jun-2020 03:22 PM EDT,Credit Card,VISA,16.71
21-Jun-2020 03:11 PM EDT,Debit Card,MC,4.07
21-Jun-2020 03:07 PM EDT,Debit Card,VISA,17.55
21-Jun-2020 02:56 PM EDT,Cash,,7.02
21-Jun-2020 02:29 PM EDT,Cash,,10.39
21-Jun-2020 02:09 PM EDT,Cash,,11.65
21-Jun-2020 01:56 PM EDT,Cash,,10.47
21-Jun-2020 01:28 PM EDT,Cash,,9.41
21-Jun-2020 01:25 PM EDT,Credit Card,VISA,5.34
21-Jun-2020 01:21 PM EDT,Debit Card,VISA,21.62
21-Jun-2020 12:40 PM EDT,Credit Card,DISCOVER,14.32
21-Jun-2020 12:36 PM EDT,Debit Card,VISA,20.92
21-Jun-2020 12:07 PM EDT,Cash,,9.69
20-Jun-2020 08:56 PM EDT,Cash,,20
20-Jun-2020 08:47 PM EDT,Cash,,49.68
20-Jun-2020 08:14 PM EDT,Credit Card,VISA,32.43
20-Jun-2020 07:31 PM EDT,Credit Card,MC,9.83
20-Jun-2020 07:29 PM EDT,Cash,,16.76
20-Jun-2020 07:29 PM EDT,Gift Cards,,5
20-Jun-2020 05:03 PM EDT,Debit Card,VISA,19.8
20-Jun-2020 04:29 PM EDT,Credit Card,VISA,62.48
20-Jun-2020 03:55 PM EDT,Cash,,16.93
20-Jun-2020 03:40 PM EDT,Credit Card,VISA,7.3
20-Jun-2020 03:33 PM EDT,Debit Card,MC,38.05
20-Jun-2020 02:36 PM EDT,Cash,,10
20-Jun-2020 02:03 PM EDT,Credit Card,DISCOVER,12.78
20-Jun-2020 01:44 PM EDT,Debit Card,VISA,6.04
20-Jun-2020 12:21 PM EDT,Debit Card,VISA,7.86
20-Jun-2020 12:21 PM EDT,Credit Card,MC,9.97
19-Jun-2020 09:12 PM EDT,Credit Card,VISA,16.85
19-Jun-2020 09:10 PM EDT,Cash,,16.85
19-Jun-2020 08:22 PM EDT,Cash,,19.94
19-Jun-2020 08:09 PM EDT,Debit Card,MC,3.79
19-Jun-2020 07:28 PM EDT,Debit Card,MC,23.87
19-Jun-2020 07:15 PM EDT,Debit Card,MC,20
19-Jun-2020 04:29 PM EDT,Debit Card,VISA,11.37
19-Jun-2020 04:03 PM EDT,Debit Card,VISA,27.38
19-Jun-2020 03:42 PM EDT,Cash,,11.93
19-Jun-2020 03:38 PM EDT,Debit Card,MC,7.44
19-Jun-2020 03:32 PM EDT,Cash,,7.72
19-Jun-2020 03:31 PM EDT,Debit Card,VISA,12.64
19-Jun-2020 03:31 PM EDT,Debit Card,VISA,11.65
19-Jun-2020 02:47 PM EDT,Cash,,12.78
19-Jun-2020 02:29 PM EDT,Cash,,7.72
19-Jun-2020 02:04 PM EDT,Debit Card,VISA,5.48
19-Jun-2020 01:52 PM EDT,Cash,,14.32
19-Jun-2020 01:50 PM EDT,Debit Card,MC,8.14
19-Jun-2020 12:56 PM EDT,Debit Card,MC,20.5
19-Jun-2020 12:32 PM EDT,Credit Card,MC,7.16
18-Jun-2020 09:03 PM EDT,Cash,,12.78
18-Jun-2020 09:02 PM EDT,Debit Card,MC,4.91
18-Jun-2020 08:49 PM EDT,Debit Card,VISA,5.62
18-Jun-2020 08:30 PM EDT,Debit Card,VISA,18.25
18-Jun-2020 08:27 PM EDT,Cash,,19.03
18-Jun-2020 08:22 PM EDT,Debit Card,VISA,10.53
18-Jun-2020 08:12 PM EDT,Cash,,8.99
18-Jun-2020 08:12 PM EDT,Cash,,7.86
18-Jun-2020 07:48 PM EDT,Debit Card,VISA,18.39
18-Jun-2020 07:34 PM EDT,Credit Card,VISA,9.41
18-Jun-2020 07:29 PM EDT,Debit Card,MC,19.94
18-Jun-2020 07:23 PM EDT,Debit Card,VISA,13.48
18-Jun-2020 06:58 PM EDT,Cash,,0.97
18-Jun-2020 06:57 PM EDT,Credit Card,AMEX,25
18-Jun-2020 06:56 PM EDT,Debit Card,MC,14.18
18-Jun-2020 06:15 PM EDT,Debit Card,MC,8.56
18-Jun-2020 05:49 PM EDT,Debit Card,MC,9.41
18-Jun-2020 05:17 PM EDT,Debit Card,MC,8.7
18-Jun-2020 02:57 PM EDT,Debit Card,VISA,20.64
18-Jun-2020 02:32 PM EDT,Debit Card,MC,16.01
18-Jun-2020 02:27 PM EDT,Credit Card,MC,5.9
18-Jun-2020 02:26 PM EDT,Credit Card,VISA,15.3
18-Jun-2020 01:42 PM EDT,Cash,,8.42
18-Jun-2020 12:28 PM EDT,Credit Card,VISA,12.85
17-Jun-2020 08:50 PM EDT,Cash,,12.64
17-Jun-2020 08:49 PM EDT,Cash,,6.32
17-Jun-2020 08:49 PM EDT,Cash,,6.88
17-Jun-2020 08:48 PM EDT,Cash,,6.04
17-Jun-2020 08:48 PM EDT,Credit Card,MC,10.11
17-Jun-2020 08:27 PM EDT,Debit Card,VISA,14.18
17-Jun-2020 08:26 PM EDT,Debit Card,MC,6.88
17-Jun-2020 08:02 PM EDT,Debit Card,MC,7.44
17-Jun-2020 08:01 PM EDT,Cash,,9.97
17-Jun-2020 07:57 PM EDT,Cash,,13.9
17-Jun-2020 07:47 PM EDT,Debit Card,MC,19.09
17-Jun-2020 06:46 PM EDT,Cash,,5.76
17-Jun-2020 06:17 PM EDT,Debit Card,MC,19.8
17-Jun-2020 06:17 PM EDT,Credit Card,MC,19.8
17-Jun-2020 05:15 PM EDT,Debit Card,VISA,9.13
17-Jun-2020 04:28 PM EDT,Cash,,5.9
17-Jun-2020 04:04 PM EDT,Cash,,6.88
17-Jun-2020 03:55 PM EDT,Debit Card,MC,15.02
17-Jun-2020 03:54 PM EDT,Debit Card,VISA,16.43
17-Jun-2020 03:40 PM EDT,Cash,,7.88
17-Jun-2020 03:39 PM EDT,Gift Cards,,15.15
17-Jun-2020 02:14 PM EDT,Cash,,8.85
17-Jun-2020 02:13 PM EDT,Cash,,8.28
17-Jun-2020 01:51 PM EDT,Debit Card,MC,9.27
17-Jun-2020 01:31 PM EDT,Cash,,18.11
17-Jun-2020 01:20 PM EDT,Credit Card,VISA,16.29
16-Jun-2020 07:28 PM EDT,Debit Card,VISA,9.97
16-Jun-2020 07:20 PM EDT,Cash,,17.97
16-Jun-2020 07:04 PM EDT,Credit Card,MC,21.34
16-Jun-2020 06:08 PM EDT,Credit Card,MC,21.62
16-Jun-2020 05:31 PM EDT,Debit Card,MC,42.67
16-Jun-2020 04:46 PM EDT,Cash,,9.13
16-Jun-2020 04:45 PM EDT,Cash,,7.72
16-Jun-2020 04:28 PM EDT,Cash,,6.6
16-Jun-2020 03:36 PM EDT,Debit Card,MC,7.58
16-Jun-2020 03:20 PM EDT,Cash,,17.97
16-Jun-2020 03:04 PM EDT,Credit Card,MC,9.69
16-Jun-2020 03:02 PM EDT,Cash,,5.05
16-Jun-2020 03:02 PM EDT,Cash,,7.16
16-Jun-2020 02:59 PM EDT,Debit Card,MC,32.71
16-Jun-2020 02:37 PM EDT,Credit Card,DISCOVER,12.21
16-Jun-2020 02:16 PM EDT,Credit Card,VISA,6.46
16-Jun-2020 01:36 PM EDT,Debit Card,MC,6.88
16-Jun-2020 12:58 PM EDT,Cash,,7.16
16-Jun-2020 12:54 PM EDT,Cash,,10.25
16-Jun-2020 12:47 PM EDT,Cash,,7.44
16-Jun-2020 12:46 PM EDT,Cash,,9.83
16-Jun-2020 12:21 PM EDT,Debit Card,VISA,22.46
16-Jun-2020 12:12 PM EDT,Cash,,5.34
16-Jun-2020 12:11 PM EDT,Credit Card,VISA,16.71
16-Jun-2020 11:58 AM EDT,Credit Card,VISA,7.86
15-Jun-2020 08:47 PM EDT,Debit Card,MC,6.47
15-Jun-2020 08:45 PM EDT,Cash,,6.47
15-Jun-2020 08:36 PM EDT,Debit Card,MC,12.94
15-Jun-2020 08:16 PM EDT,Cash,,6.47
15-Jun-2020 08:11 PM EDT,Cash,,12.94
15-Jun-2020 08:06 PM EDT,Debit Card,VISA,12.94
15-Jun-2020 08:05 PM EDT,Debit Card,VISA,12.94
15-Jun-2020 08:03 PM EDT,Debit Card,MC,38.82
15-Jun-2020 07:58 PM EDT,Cash,,6.47
15-Jun-2020 07:58 PM EDT,Cash,,6.47
15-Jun-2020 07:57 PM EDT,Debit Card,VISA,6.47
15-Jun-2020 07:57 PM EDT,Cash,,6.47
15-Jun-2020 07:56 PM EDT,Cash,,6.47
15-Jun-2020 07:49 PM EDT,Debit Card,VISA,12.94
15-Jun-2020 07:45 PM EDT,Debit Card,VISA,6.47
15-Jun-2020 07:44 PM EDT,Cash,,6.47
15-Jun-2020 07:37 PM EDT,Cash,,19.41
15-Jun-2020 07:31 PM EDT,Debit Card,MC,6.47
15-Jun-2020 07:31 PM EDT,Debit Card,MC,6.47
15-Jun-2020 07:30 PM EDT,Cash,,6.47
15-Jun-2020 07:28 PM EDT,Cash,,6.47
15-Jun-2020 07:24 PM EDT,Debit Card,MC,6.47
15-Jun-2020 07:24 PM EDT,Credit Card,VISA,19.41
15-Jun-2020 07:17 PM EDT,Cash,,6.47
15-Jun-2020 07:16 PM EDT,Cash,,6.47
15-Jun-2020 07:16 PM EDT,Cash,,6.47
15-Jun-2020 07:16 PM EDT,Cash,,6.47
15-Jun-2020 07:15 PM EDT,Cash,,6.47
15-Jun-2020 07:15 PM EDT,Cash,,19.41
15-Jun-2020 07:14 PM EDT,Cash,,12.94
15-Jun-2020 07:10 PM EDT,Credit Card,MC,12.94
15-Jun-2020 07:08 PM EDT,Cash,,19.41
15-Jun-2020 06:57 PM EDT,Cash,,6.47
15-Jun-2020 06:56 PM EDT,Cash,,6.47
15-Jun-2020 06:43 PM EDT,Credit Card,VISA,19.41
15-Jun-2020 06:15 PM EDT,Debit Card,MC,19.41
15-Jun-2020 06:14 PM EDT,Debit Card,MC,6.47
15-Jun-2020 06:05 PM EDT,Debit Card,VISA,19.41
15-Jun-2020 05:30 PM EDT,Cash,,6.47
15-Jun-2020 05:30 PM EDT,Cash,,6.47
15-Jun-2020 05:16 PM EDT,Cash,,6.47
15-Jun-2020 05:15 PM EDT,Debit Card,VISA,12.94
15-Jun-2020 05:15 PM EDT,Cash,,12.94
15-Jun-2020 05:04 PM EDT,Cash,,6.47
15-Jun-2020 04:58 PM EDT,Cash,,12.94
15-Jun-2020 04:38 PM EDT,Debit Card,VISA,12.94
15-Jun-2020 04:12 PM EDT,Cash,,25.88
15-Jun-2020 04:02 PM EDT,Cash,,6.47
15-Jun-2020 04:01 PM EDT,Cash,,6.47
15-Jun-2020 04:01 PM EDT,Debit Card,VISA,6.47
15-Jun-2020 04:00 PM EDT,Debit Card,MC,6.47
15-Jun-2020 03:38 PM EDT,Cash,,19.41
15-Jun-2020 02:08 PM EDT,Debit Card,VISA,6.47
15-Jun-2020 02:07 PM EDT,Cash,,19.41
15-Jun-2020 02:06 PM EDT,Debit Card,MC,12.94
15-Jun-2020 02:04 PM EDT,Debit Card,VISA,19.41
15-Jun-2020 01:56 PM EDT,Debit Card,MC,6.47
15-Jun-2020 01:56 PM EDT,Debit Card,VISA,6.47
15-Jun-2020 01:38 PM EDT,Debit Card,MC,12.94
15-Jun-2020 01:24 PM EDT,Debit Card,VISA,25.88
15-Jun-2020 01:19 PM EDT,Credit Card,MC,25.88
15-Jun-2020 01:01 PM EDT,Credit Card,VISA,6.47
15-Jun-2020 01:00 PM EDT,Credit Card,VISA,6.47
15-Jun-2020 01:00 PM EDT,Debit Card,MC,6.47
15-Jun-2020 12:42 PM EDT,Cash,,6.47
15-Jun-2020 12:41 PM EDT,Cash,,6.47
15-Jun-2020 12:41 PM EDT,Cash,,6.47
15-Jun-2020 12:35 PM EDT,Credit Card,MC,12.94
15-Jun-2020 12:35 PM EDT,Credit Card,VISA,6.47
15-Jun-2020 12:25 PM EDT,Cash,,12.94
15-Jun-2020 12:25 PM EDT,Cash,,6.47
14-Jun-2020 07:57 PM EDT,Debit Card,VISA,8.14
14-Jun-2020 07:27 PM EDT,Debit Card,VISA,21.86
14-Jun-2020 07:17 PM EDT,Debit Card,MC,17.27
14-Jun-2020 06:33 PM EDT,Debit Card,VISA,18.76
14-Jun-2020 06:30 PM EDT,Cash,,5.19
14-Jun-2020 06:29 PM EDT,Cash,,9.83
14-Jun-2020 06:26 PM EDT,Cash,,13.2
14-Jun-2020 06:24 PM EDT,Cash,,13.34
14-Jun-2020 05:45 PM EDT,Cash,,15.3
14-Jun-2020 04:46 PM EDT,Debit Card,VISA,17.69
14-Jun-2020 04:31 PM EDT,Cash,,23.45
14-Jun-2020 04:29 PM EDT,Cash,,7.3
14-Jun-2020 04:27 PM EDT,Cash,,12.36
14-Jun-2020 04:26 PM EDT,Debit Card,MC,15.83
14-Jun-2020 02:57 PM EDT,Debit Card,VISA,21.48
14-Jun-2020 02:53 PM EDT,Debit Card,MC,7.3
14-Jun-2020 02:53 PM EDT,Credit Card,MC,7.3
14-Jun-2020 02:52 PM EDT,Credit Card,MC,7.3
14-Jun-2020 02:52 PM EDT,Credit Card,MC,7.3
14-Jun-2020 02:52 PM EDT,Credit Card,MC,7.3
14-Jun-2020 02:51 PM EDT,Debit Card,VISA,9.55
14-Jun-2020 02:51 PM EDT,Debit Card,VISA,4.77
14-Jun-2020 02:50 PM EDT,Cash,,8.7
14-Jun-2020 02:50 PM EDT,Cash,,7.02
14-Jun-2020 02:49 PM EDT,Debit Card,MC,12.21
14-Jun-2020 02:20 PM EDT,Debit Card,VISA,7.16
14-Jun-2020 02:15 PM EDT,Cash,,15.3
14-Jun-2020 01:58 PM EDT,Debit Card,VISA,8.7
13-Jun-2020 08:46 PM EDT,Cash,,8
13-Jun-2020 08:26 PM EDT,Cash,,14.6
13-Jun-2020 07:37 PM EDT,Debit Card,VISA,14.46
13-Jun-2020 07:28 PM EDT,Debit Card,MC,7.02
13-Jun-2020 07:00 PM EDT,Debit Card,MC,8.42
13-Jun-2020 07:00 PM EDT,Debit Card,MC,10.25
13-Jun-2020 06:55 PM EDT,Cash,,7.16
13-Jun-2020 06:33 PM EDT,Debit Card,MC,22.32
13-Jun-2020 06:32 PM EDT,Cash,,4.6
13-Jun-2020 06:31 PM EDT,Gift Cards,,6.21
13-Jun-2020 06:30 PM EDT,Gift Cards,,3.79
13-Jun-2020 06:29 PM EDT,Debit Card,VISA,8.14
13-Jun-2020 05:13 PM EDT,Cash,,17.74
13-Jun-2020 05:13 PM EDT,Gift Cards,,15
13-Jun-2020 05:13 PM EDT,Gift Cards,,15
13-Jun-2020 03:12 PM EDT,Debit Card,MC,18.11
13-Jun-2020 03:12 PM EDT,Debit Card,MC,8.85
13-Jun-2020 02:18 PM EDT,Cash,,4.09
13-Jun-2020 02:18 PM EDT,Gift Cards,,10
13-Jun-2020 02:18 PM EDT,Gift Cards,,5
13-Jun-2020 02:17 PM EDT,Debit Card,MC,13.06
13-Jun-2020 02:08 PM EDT,Debit Card,MC,21.2
13-Jun-2020 01:44 PM EDT,Credit Card,VISA,11.37
13-Jun-2020 12:54 PM EDT,Cash,,10.39
13-Jun-2020 12:28 PM EDT,Credit Card,MC,8
13-Jun-2020 12:28 PM EDT,Credit Card,VISA,8.99
13-Jun-2020 12:28 PM EDT,Cash,,7.86
12-Jun-2020 08:32 PM EDT,Debit Card,VISA,6.88
12-Jun-2020 08:29 PM EDT,Debit Card,MC,10.25
12-Jun-2020 08:02 PM EDT,Cash,,21.62
12-Jun-2020 07:59 PM EDT,Credit Card,MC,19.94
12-Jun-2020 07:06 PM EDT,Cash,,12.92
12-Jun-2020 06:51 PM EDT,Debit Card,MC,13.02
12-Jun-2020 06:47 PM EDT,Credit Card,VISA,15.3
12-Jun-2020 06:46 PM EDT,Credit Card,VISA,7.86
12-Jun-2020 05:40 PM EDT,Credit Card,MC,9.13
12-Jun-2020 05:19 PM EDT,Debit Card,VISA,23.59
12-Jun-2020 05:05 PM EDT,Debit Card,VISA,14.6
12-Jun-2020 05:03 PM EDT,Credit Card,MC,18.25
12-Jun-2020 03:29 PM EDT,Debit Card,MC,12.64
12-Jun-2020 02:56 PM EDT,Cash,,3.79
12-Jun-2020 02:53 PM EDT,Debit Card,MC,4.91
12-Jun-2020 02:33 PM EDT,Credit Card,VISA,12.36
12-Jun-2020 02:32 PM EDT,Cash,,8.42
12-Jun-2020 02:31 PM EDT,Cash,,11.5
12-Jun-2020 02:31 PM EDT,Debit Card,MC,12.64
12-Jun-2020 02:16 PM EDT,Cash,,22.04
12-Jun-2020 02:09 PM EDT,Credit Card,DISCOVER,14.45
12-Jun-2020 02:09 PM EDT,Gift Cards,,5.63
12-Jun-2020 01:05 PM EDT,Debit Card,MC,7.16
12-Jun-2020 01:02 PM EDT,Credit Card,VISA,20.78
11-Jun-2020 08:55 PM EDT,Credit Card,DISCOVER,16.57
11-Jun-2020 07:22 PM EDT,Debit Card,VISA,24.01
11-Jun-2020 07:15 PM EDT,Cash,,9.97
11-Jun-2020 07:13 PM EDT,Cash,,7.95
11-Jun-2020 07:01 PM EDT,Credit Card,VISA,34.4
11-Jun-2020 06:32 PM EDT,Cash,,18.53
11-Jun-2020 06:27 PM EDT,Cash,,11.37
11-Jun-2020 05:59 PM EDT,Credit Card,MC,16.85
11-Jun-2020 05:43 PM EDT,Credit Card,VISA,8.28
11-Jun-2020 04:55 PM EDT,Cash,,10.25
11-Jun-2020 01:51 PM EDT,Credit Card,VISA,6.46
11-Jun-2020 01:36 PM EDT,Debit Card,MC,18.39
11-Jun-2020 01:03 PM EDT,Credit Card,MC,11.51
11-Jun-2020 01:02 PM EDT,Credit Card,VISA,13.34
10-Jun-2020 08:42 PM EDT,Cash,,15.3
10-Jun-2020 08:35 PM EDT,Debit Card,VISA,26.96
10-Jun-2020 08:35 PM EDT,Debit Card,VISA,10.95
10-Jun-2020 08:34 PM EDT,Debit Card,VISA,7.3
10-Jun-2020 07:57 PM EDT,Cash,,14.6
10-Jun-2020 07:14 PM EDT,Debit Card,MC,18.39
10-Jun-2020 07:03 PM EDT,Debit Card,MC,13.34
10-Jun-2020 05:21 PM EDT,Cash,,10.11
10-Jun-2020 05:14 PM EDT,Credit Card,VISA,10.25
10-Jun-2020 04:50 PM EDT,Debit Card,VISA,25.83
10-Jun-2020 04:26 PM EDT,Credit Card,VISA,17.27
10-Jun-2020 03:40 PM EDT,Debit Card,MC,16.99
10-Jun-2020 03:39 PM EDT,Credit Card,MC,16.99
10-Jun-2020 03:35 PM EDT,Credit Card,MC,7.86
10-Jun-2020 03:23 PM EDT,Cash,,8.7
10-Jun-2020 03:23 PM EDT,Debit Card,VISA,11.37
10-Jun-2020 03:22 PM EDT,Cash,,5.9
10-Jun-2020 03:12 PM EDT,Cash,,20.08
10-Jun-2020 03:05 PM EDT,Debit Card,MC,7.72
10-Jun-2020 02:59 PM EDT,Credit Card,MC,13.76
10-Jun-2020 02:31 PM EDT,Cash,,16.57
10-Jun-2020 12:25 PM EDT,Credit Card,VISA,6.88
10-Jun-2020 12:25 PM EDT,Cash,,7.58
09-Jun-2020 08:52 PM EDT,Credit Card,DISCOVER,13.34
09-Jun-2020 08:35 PM EDT,Credit Card,VISA,17.55
09-Jun-2020 08:28 PM EDT,Credit Card,VISA,9.06
09-Jun-2020 07:15 PM EDT,Debit Card,MC,18.95
09-Jun-2020 07:14 PM EDT,Cash,,16.71
09-Jun-2020 07:13 PM EDT,Debit Card,VISA,7.58
09-Jun-2020 07:13 PM EDT,Debit Card,MC,8.14
09-Jun-2020 06:11 PM EDT,Cash,,11.46
09-Jun-2020 06:06 PM EDT,Debit Card,MC,22.74
09-Jun-2020 06:02 PM EDT,Credit Card,MC,4.72
09-Jun-2020 05:25 PM EDT,Debit Card,VISA,9.27
09-Jun-2020 05:25 PM EDT,Debit Card,VISA,10.39
09-Jun-2020 04:39 PM EDT,Debit Card,MC,15.02
09-Jun-2020 04:38 PM EDT,Cash,,0.84
09-Jun-2020 03:53 PM EDT,Cash,,3.51
09-Jun-2020 03:52 PM EDT,Cash,,16.71
09-Jun-2020 03:35 PM EDT,Cash,,20.78
09-Jun-2020 03:32 PM EDT,Cash,,20
09-Jun-2020 03:28 PM EDT,Cash,,6.88
09-Jun-2020 03:01 PM EDT,Cash,,8
09-Jun-2020 02:43 PM EDT,Cash,,16.57
09-Jun-2020 02:31 PM EDT,Debit Card,MC,17.13
09-Jun-2020 02:26 PM EDT,Credit Card,DISCOVER,5.34
09-Jun-2020 02:10 PM EDT,Debit Card,VISA,45.49
09-Jun-2020 01:01 PM EDT,Debit Card,MC,37.21
09-Jun-2020 12:43 PM EDT,Cash,,8.7
09-Jun-2020 12:42 PM EDT,Cash,,18.67
09-Jun-2020 12:36 PM EDT,Cash,,6.46
09-Jun-2020 12:06 PM EDT,Credit Card,VISA,6.4
09-Jun-2020 11:37 AM EDT,Credit Card,VISA,19.23
08-Jun-2020 08:55 PM EDT,Debit Card,MC,11.24
08-Jun-2020 08:42 PM EDT,Debit Card,VISA,19.41
08-Jun-2020 08:40 PM EDT,Debit Card,VISA,6.47
08-Jun-2020 08:40 PM EDT,Debit Card,MC,6.47
08-Jun-2020 08:39 PM EDT,Debit Card,VISA,6.47
