STATION,DATE,AWND,TAVG,TMAX,TMIN,Temp_Diff
USW00014768,10/24/2019,9.62,53,60,43,17
USW00014768,10/25/2019,2.46,48,53,44,9
USW00014768,10/26/2019,6.93,48,56,41,15
USW00014768,10/27/2019,16.55,56,65,52,13
USW00014768,10/28/2019,4.03,56,66,44,22
USW00014768,10/29/2019,7.61,58,71,43,28
USW00014768,10/30/2019,6.04,56,58,53,5
USW00014768,10/31/2019,10.29,59,64,45,19
USW00014768,11/1/2019,18.12,43,45,36,9
USW00014768,11/2/2019,8.95,41,48,36,12
USW00014768,11/3/2019,9.62,39,43,34,9
USW00014768,11/4/2019,10.07,42,53,32,21
USW00014768,11/5/2019,10.96,47,50,36,14
USW00014768,11/6/2019,7.16,38,44,31,13
USW00014768,11/7/2019,6.71,36,42,27,15
USW00014768,11/8/2019,7.83,28,31,21,10
USW00014768,11/9/2019,9.4,29,38,21,17
USW00014768,11/10/2019,9.62,39,45,34,11
USW00014768,11/11/2019,12.53,33,37,26,11
USW00014768,11/12/2019,11.41,24,26,16,10
USW00014768,11/13/2019,6.26,19,23,12,11
USW00014768,11/14/2019,6.71,28,36,23,13
USW00014768,11/15/2019,11.86,34,36,29,7
USW00014768,11/16/2019,10.51,27,29,21,8
USW00014768,11/17/2019,8.5,27,40,15,25
USW00014768,11/18/2019,6.26,35,40,30,10
USW00014768,11/19/2019,2.91,37,39,35,4
USW00014768,11/20/2019,5.14,37,41,33,8
USW00014768,11/21/2019,8.05,38,50,28,22
USW00014768,11/22/2019,14.99,44,52,30,22
USW00014768,11/23/2019,5.82,33,42,25,17
USW00014768,11/24/2019,10.51,38,44,33,11
USW00014768,11/25/2019,3.8,44,51,35,16
USW00014768,11/26/2019,9.17,46,56,37,19
USW00014768,11/27/2019,15.43,46,61,38,23
USW00014768,11/28/2019,13.65,38,41,30,11
USW00014768,11/29/2019,5.14,29,30,28,2
USW00014768,11/30/2019,6.49,28,30,22,8
USW00014768,12/1/2019,12.3,25,33,21,12
USW00014768,12/2/2019,10.74,30,33,27,6
USW00014768,12/3/2019,6.71,25,33,12,21
USW00014768,12/4/2019,7.61,33,34,32,2
USW00014768,12/5/2019,10.96,33,34,27,7
USW00014768,12/6/2019,6.71,31,33,23,10
USW00014768,12/7/2019,5.59,27,30,13,17
USW00014768,12/8/2019,10.29,26,42,13,29
USW00014768,12/9/2019,11.41,42,50,40,10
USW00014768,12/10/2019,13.42,43,51,25,26
USW00014768,12/11/2019,12.08,26,29,18,11
USW00014768,12/12/2019,8.05,20,33,13,20
USW00014768,12/13/2019,9.17,34,43,31,12
USW00014768,12/14/2019,9.62,38,41,33,8
USW00014768,12/15/2019,15.88,34,36,22,14
USW00014768,12/16/2019,4.7,28,35,22,13
USW00014768,12/17/2019,7.16,30,32,28,4
USW00014768,12/18/2019,14.32,25,28,12,16
USW00014768,12/19/2019,7.61,13,20,6,14
USW00014768,12/20/2019,2.46,20,25,15,10
USW00014768,12/21/2019,5.82,20,34,12,22
USW00014768,12/22/2019,10.51,35,47,28,19
USW00014768,12/23/2019,11.63,42,54,34,20
USW00014768,12/24/2019,8.28,36,39,28,11
USW00014768,12/25/2019,4.25,33,48,24,24
USW00014768,12/26/2019,2.46,34,50,28,22
USW00014768,12/27/2019,11.41,49,54,40,14
USW00014768,12/28/2019,7.83,39,42,30,12
USW00014768,12/29/2019,7.83,34,41,30,11
USW00014768,12/30/2019,9.84,42,52,37,15
USW00014768,12/31/2019,10.51,37,39,31,8
USW00014768,1/1/2020,12.97,,33,28,5
USW00014768,1/2/2020,11.41,37,48,27,21
USW00014768,1/3/2020,5.82,44,47,40,7
USW00014768,1/4/2020,7.61,37,40,32,8
USW00014768,1/5/2020,11.41,32,34,30,4
USW00014768,1/6/2020,15.66,33,37,30,7
USW00014768,1/7/2020,5.82,31,36,23,13
USW00014768,1/8/2020,13.65,29,35,19,16
USW00014768,1/9/2020,8.05,20,34,12,22
USW00014768,1/10/2020,10.51,39,48,33,15
USW00014768,1/11/2020,11.18,52,64,37,27
USW00014768,1/12/2020,14.32,36,46,26,20
USW00014768,1/13/2020,5.37,32,40,26,14
USW00014768,1/14/2020,10.07,39,50,33,17
USW00014768,1/15/2020,8.05,39,41,35,6
USW00014768,1/16/2020,14.54,34,37,18,19
USW00014768,1/17/2020,6.93,16,18,10,8
USW00014768,1/18/2020,12.75,17,39,12,27
USW00014768,1/19/2020,14.76,30,36,18,18
USW00014768,1/20/2020,7.61,17,21,5,16
USW00014768,1/21/2020,8.72,17,28,8,20
USW00014768,1/22/2020,6.71,24,34,18,16
USW00014768,1/23/2020,4.92,27,40,20,20
USW00014768,1/24/2020,6.26,35,47,29,18
USW00014768,1/25/2020,9.17,39,45,33,12
USW00014768,1/26/2020,12.08,35,36,33,3
USW00014768,1/27/2020,10.29,34,36,32,4
USW00014768,1/28/2020,8.28,31,32,30,2
USW00014768,1/29/2020,6.26,26,30,18,12
USW00014768,1/30/2020,4.47,22,29,15,14
USW00014768,1/31/2020,2.24,27,32,24,8
USW00014768,2/1/2020,2.46,30,33,28,5
USW00014768,2/2/2020,5.14,31,34,29,5
USW00014768,2/3/2020,10.29,38,46,31,15
USW00014768,2/4/2020,6.93,35,37,32,5
USW00014768,2/5/2020,9.17,28,32,24,8
USW00014768,2/6/2020,10.96,27,32,23,9
USW00014768,2/7/2020,13.42,26,28,20,8
USW00014768,2/8/2020,6.71,18,20,10,10
USW00014768,2/9/2020,5.82,20,36,11,25
USW00014768,2/10/2020,7.16,36,38,30,8
USW00014768,2/11/2020,8.95,33,36,29,7
USW00014768,2/12/2020,8.72,32,39,24,15
USW00014768,2/13/2020,7.38,33,33,16,17
USW00014768,2/14/2020,8.05,12,16,3,13
USW00014768,2/15/2020,9.4,12,34,2,32
USW00014768,2/16/2020,13.2,35,37,28,9
USW00014768,2/17/2020,8.05,29,30,25,5
USW00014768,2/18/2020,15.21,33,44,25,19
USW00014768,2/19/2020,11.86,31,35,23,12
USW00014768,2/20/2020,8.72,22,23,16,7
USW00014768,2/21/2020,13.65,21,31,12,19
USW00014768,2/22/2020,14.99,31,40,26,14
USW00014768,2/23/2020,9.62,38,49,29,20
USW00014768,2/24/2020,7.16,43,53,37,16
USW00014768,2/25/2020,8.28,37,38,35,3
USW00014768,2/26/2020,8.28,35,37,33,4
USW00014768,2/27/2020,23.26,29,36,23,13
USW00014768,2/28/2020,23.71,23,27,22,5
USW00014768,2/29/2020,10.07,19,23,13,10
USW00014768,3/1/2020,7.61,26,40,17,23
USW00014768,3/2/2020,14.32,44,53,39,14
USW00014768,3/3/2020,8.05,45,53,38,15
USW00014768,3/4/2020,15.66,39,45,33,12
USW00014768,3/5/2020,8.5,36,45,32,13
USW00014768,3/6/2020,13.2,34,41,29,12
USW00014768,3/7/2020,9.4,30,36,23,13
USW00014768,3/8/2020,11.63,40,58,27,31
USW00014768,3/9/2020,13.42,55,66,47,19
USW00014768,3/10/2020,14.32,53,59,32,27
USW00014768,3/11/2020,6.26,33,40,25,15
USW00014768,3/12/2020,5.37,39,52,31,21
USW00014768,3/13/2020,19.01,48,52,34,18
USW00014768,3/14/2020,10.29,36,39,33,6
USW00014768,3/15/2020,8.28,33,34,24,10
USW00014768,3/16/2020,7.16,32,50,21,29
USW00014768,3/17/2020,12.75,43,46,36,10
USW00014768,3/18/2020,5.82,38,47,26,21
USW00014768,3/19/2020,5.82,44,54,38,16
USW00014768,3/20/2020,18.12,57,70,29,41
USW00014768,3/21/2020,8.28,30,30,21,9
USW00014768,3/22/2020,8.5,26,36,19,17
USW00014768,3/23/2020,8.28,35,38,32,6
USW00014768,3/24/2020,5.14,37,43,33,10
USW00014768,3/25/2020,8.28,40,52,32,20
USW00014768,3/26/2020,11.41,49,64,40,24
USW00014768,3/27/2020,5.82,43,50,36,14
USW00014768,3/28/2020,9.17,42,48,33,15
USW00014768,3/29/2020,15.21,52,69,45,24
USW00014768,3/30/2020,14.32,48,51,40,11
USW00014768,3/31/2020,8.5,41,46,37,9
USW00014768,4/1/2020,9.4,40,48,31,17
USW00014768,4/2/2020,10.51,41,54,29,25
USW00014768,4/3/2020,9.17,42,45,37,8
USW00014768,4/4/2020,2.68,45,51,37,14
USW00014768,4/5/2020,6.49,45,51,35,16
USW00014768,4/6/2020,6.04,42,56,29,27
USW00014768,4/7/2020,5.37,49,59,37,22
USW00014768,4/8/2020,6.04,46,57,41,16
USW00014768,4/9/2020,13.42,44,49,34,15
USW00014768,4/10/2020,17.9,37,45,32,13
USW00014768,4/11/2020,10.74,38,46,30,16
USW00014768,4/12/2020,8.05,46,65,34,31
USW00014768,4/13/2020,17.67,58,67,41,26
USW00014768,4/14/2020,12.97,41,45,33,12
USW00014768,4/15/2020,9.84,35,42,29,13
USW00014768,4/16/2020,11.18,31,39,24,15
USW00014768,4/17/2020,6.93,33,41,26,15
USW00014768,4/18/2020,10.07,38,48,33,15
USW00014768,4/19/2020,13.87,44,55,35,20
USW00014768,4/20/2020,6.93,38,44,28,16
USW00014768,4/21/2020,18.57,40,47,30,17
USW00014768,4/22/2020,15.21,34,42,28,14
USW00014768,4/23/2020,6.71,35,42,28,14
USW00014768,4/24/2020,8.28,42,50,37,13
USW00014768,4/25/2020,6.71,45,55,32,23
USW00014768,4/26/2020,10.96,45,47,40,7
USW00014768,4/27/2020,10.29,44,53,37,16
USW00014768,4/28/2020,6.93,45,59,35,24
USW00014768,4/29/2020,13.87,54,68,44,24
USW00014768,4/30/2020,9.4,57,61,48,13
USW00014768,5/1/2020,10.07,49,55,44,11
USW00014768,5/2/2020,7.38,53,68,38,30
USW00014768,5/3/2020,10.51,61,74,48,26
USW00014768,5/4/2020,11.41,49,50,38,12
USW00014768,5/5/2020,6.93,41,46,29,17
USW00014768,5/6/2020,6.49,44,53,36,17
USW00014768,5/7/2020,11.41,45,58,33,25
USW00014768,5/8/2020,10.74,38,42,31,11
USW00014768,5/9/2020,13.87,34,40,29,11
USW00014768,5/10/2020,7.61,41,52,33,19
USW00014768,5/11/2020,8.05,41,42,35,7
USW00014768,5/12/2020,10.51,39,47,30,17
USW00014768,5/13/2020,4.47,34,55,27,28
USW00014768,5/14/2020,4.25,49,66,35,31
USW00014768,5/15/2020,10.29,63,78,52,26
USW00014768,5/16/2020,6.71,55,61,48,13
USW00014768,5/17/2020,8.05,54,66,44,22
USW00014768,5/18/2020,10.07,56,58,51,7
USW00014768,5/19/2020,10.07,59,67,51,16
USW00014768,5/20/2020,10.51,61,71,49,22
USW00014768,5/21/2020,7.16,61,73,44,29
USW00014768,5/22/2020,6.71,63,75,52,23
USW00014768,5/23/2020,4.7,68,76,60,16
USW00014768,5/24/2020,10.51,71,83,60,23
USW00014768,5/25/2020,8.72,75,87,65,22
USW00014768,5/26/2020,6.26,78,93,66,27
USW00014768,5/27/2020,7.38,78,87,68,19
USW00014768,5/28/2020,9.84,74,80,66,14
USW00014768,5/29/2020,9.62,71,81,45,36
USW00014768,5/30/2020,10.07,60,68,47,21
USW00014768,5/31/2020,8.05,52,58,43,15
USW00014768,6/1/2020,11.41,56,69,46,23
USW00014768,6/2/2020,8.95,62,74,54,20
USW00014768,6/3/2020,8.5,68,77,60,17
USW00014768,6/4/2020,8.28,70,86,57,29
USW00014768,6/5/2020,6.71,74,85,64,21
USW00014768,6/6/2020,10.51,72,77,59,18
USW00014768,6/7/2020,7.16,63,69,53,16
USW00014768,6/8/2020,4.25,62,74,48,26
USW00014768,6/9/2020,6.71,71,88,58,30
USW00014768,6/10/2020,10.51,79,94,65,29
USW00014768,6/11/2020,15.66,74,74,59,15
USW00014768,6/12/2020,11.41,63,68,50,18
USW00014768,6/13/2020,8.72,54,59,45,14
USW00014768,6/14/2020,7.38,55,66,41,25
USW00014768,6/15/2020,5.14,59,70,43,27
USW00014768,6/16/2020,5.82,62,77,46,31
USW00014768,6/17/2020,4.92,67,82,50,32
USW00014768,6/18/2020,5.59,72,86,57,29
USW00014768,6/19/2020,5.14,75,86,62,24
USW00014768,6/20/2020,5.37,75,86,63,23
USW00014768,6/21/2020,4.47,76,88,64,24
USW00014768,6/22/2020,6.49,77,89,69,20
USW00014768,6/23/2020,9.84,74,85,65,20
USW00014768,6/24/2020,16.78,68,75,58,17
